SampleName,Autotroph,Heterotroph,SulfateReducer,Homoacetogen,Methanogen,DenitrifierNonETC,AerobicAmmoniaOxidizer,Comammox,Annamox,NitrogenFixer,Phototroph,Fermenter,Aerobe,Microaerophillic,OxidaseNonETC,Denitrifier
altamaha_2019_sw_WHONDRS-S19S_0010,29.29390398,653.1815051,5.293268671,0,0,1.540409353,2.986272622,0,0,0,53.17823839,94.70791593,529.087025,286.033931,68.86879746,23.16365865
arikareeriver_2019_sw_WHONDRS-S19S_0023,0,1646.269545,5.941605262,0,0,2.607500796,0,0,0,2.607500796,0,1640.02616,0.301780117,6.243385379,33.19265306,5.941605262
augustacreek_2019_sw_WHONDRS-S19S_0067,2.575401068,1132.719393,3.355356521,0,0,2.720071423,0,0,0,0,4.082570136,498.1251991,607.874165,547.0917052,79.17848673,5.4977176
blackearthcreek_2019_sw_WHONDRS-S19S_0061,19.44371572,1520.801301,0,0,0,31.91676545,60.24667047,0,0,0,5.151829583,362.3175482,1088.022398,1009.615117,154.4920147,18.20734749
blackwarrior_2019_sw_WHONDRS-S19S_0021,20.57483034,312.9175316,0,0,0,1.163249645,1.068176356,0,0,7.661402831,26.24087533,71.56813154,209.1357589,80.29991486,68.89172409,12.48778815
blueriver_2019_sw_WHONDRS-S19S_0024,1.85847918,535.5808259,14.65235759,0,0,0,0,0,0,0,0,512.6378941,10.14905335,22.65488722,450.2370467,14.65235759
cachelapoudre_2019_sw_WHONDRS-S19S_0077,0,4637.103407,0,0,0,70.63315415,11.74905393,0,0,0,0,4561.191204,64.16314956,54.3926502,3872.547072,16.58107847
cariboucreek_2019_sw_WHONDRS-S19S_0051,2.115640415,508.8954934,0,0,0,8.868123869,0,0,0,0,0,503.9665156,3.424322899,5.079354663,162.9657028,1.459059322
cartcreek_2019_sw_WHONDRS-S19S_0073,0,1588.920312,0,0,0,16.93088947,0,0,0,0,0,186.1071302,1401.796036,1401.796036,99.83676105,4.452798122
cobbmillcreek_2019_sw_WHONDRS-S19S_0090,3.394296724,239.5732237,0,0,0,14.84419641,2.513049027,0,0,2.284134117,0,214.5324928,8.899151534,10.06120409,134.949405,6.569007632
columbia_2019_sw_WHONDRS-S19S_0036,0,1605.145491,0,0,0,21.91981688,0,0,0,0,0,1494.054489,111.0910016,74.43604482,961.9427331,0
columbia_2019_sw_WHONDRS-S19S_0074,36.56246135,5878.595798,0,0,0,4.698086771,0,0,0,0,92.9498032,218.8974515,5610.134424,4901.373457,118.9316378,47.32848983
columbiariver2_2019_sw_WHONDRS-S19S_0076,51.75359341,1014.839694,0.338690926,0,0,0.77786607,0,0,0,0,126.1472291,218.7858778,762.1603094,137.5050758,129.1733696,29.69753462
comocreek_2019_sw_WHONDRS-S19S_0026,0,692.4877488,0,0,0,15.9521345,0,0,0,0,0,687.6742112,4.813537596,2.193503184,303.3697966,0
deadrun_2019_sw_WHONDRS-S19S_0006,3.707814834,128.5662629,0,0,0,0,0,0,0,0,0,128.5662629,3.707814834,3.707814834,89.71010108,3.707814834
dobsoncreek_2019_sw_WHONDRS-S19S_0087,0,513.1777378,4.256436226,0,0,7.964497233,0,0,0,0,0,508.9213016,0,4.256436226,321.5123352,4.256436226
eastforkpoplarcreek_2019_sw_WHONDRS-S19S_0039,0,299.3399302,0,0,0,4.562559178,0,0,0,0,0,218.2929833,78.94880669,79.70659011,142.1936621,1.423571853
farmington_2019_sw_WHONDRS-S19S_0053,1.995938423,2074.104265,8.677993146,0,0,17.00176185,0,0,0,0,0,1666.407836,396.5624677,406.8358769,1100.479375,18.91559533
greatmiami_2019_sw_WHONDRS-S19S_0099,4.33861032,314.6663527,0,0,0,1.544304238,0,0,0,0,45.59360335,84.68963326,183.5863828,103.2567344,73.50031406,19.33651519
guil_2019_sw_WHONDRS-S19S_0049,5.014263539,630.2125275,0,0,0,4.941209312,0,0,0,0,8.369128312,605.6237708,29.6030203,19.85551539,415.0492974,8.842715824
gunnisonriver_2019_sw_WHONDRS-S19S_0062,0,56.48563777,0,0,0,0,0,0,0,0,0,56.48563777,0,0,43.37290043,0
hugercreek_2019_sw_WHONDRS-S19S_0044,0.932683636,589.9188849,0,0,0,2.208686401,3.791741566,0,0,0,0,107.7551686,477.5344994,471.8087453,73.3720528,0
king_2019_sw_WHONDRS-S19S_0016,1.343871855,232.6117711,15.99561933,0,0,1.343871855,0,0,0,1.343871855,0,206.5005016,11.45952201,22.96288222,170.5035748,15.99561933
kingscreed_2019_sw_WHONDRS-S19S_0040,0,673.4838423,0,0,0,0,0,0,0,0,0,659.3453712,14.13847112,0,232.4690924,0
lajara_2019_sw_WHONDRS-S19S_0034,0,1176.452185,0,0,0,5.452367673,0,0,0,0,1.768628718,1172.904306,1.768628718,3.547879831,524.1263181,0
littlewindriver_2019_sw_WHONDRS-S19S_0009,9.151880613,359.4895524,0,0,0,6.977417579,0,0,0,0.286340208,1.813487984,149.9486771,186.530751,156.0585411,58.94185306,6.702954154
littlewolfcreek_2019_sw_WHONDRS-S19S_0078,3.720168711,5567.77509,0.751497951,0,0,6.857851017,1.766847251,0,0,6.780209548,0.937667104,246.6147784,5292.51768,5284.587103,92.96320245,37.72908068
logan1_2019_sw_WHONDRS-S19S_0097,0,884.3676949,13.56167828,0,0,4.007277397,0,0,0,0,0,859.2326253,8.713688353,24.09990914,477.3283884,15.38622078
logan2_2019_sw_WHONDRS-S19S_0098,3.037302656,299.5237059,0,0,0,0,0,0,0,0,3.037302656,288.7554742,8.124862269,7.721502043,210.2764164,2.978238831
lowercolorado_2019_sw_WHONDRS-S19S_0063,0,117.3672433,0,0,0,0,0,0,0,0,0,69.83347508,43.90460668,9.609572803,27.30487776,10.694664
marshallgulch_2019_sw_WHONDRS-S19S_0035,0.843555741,375.6601364,0,0,0,19.00351511,0,0,0,0.784943557,1.09119439,371.2804491,3.662332983,1.61952221,167.9102637,0
marthacreek_2019_sw_WHONDRS-S19S_0030,0,588.7307784,0,0,0,8.824425961,0,0,0,0,0,580.7182327,8.012545704,8.012545704,505.0286857,0
mcdi_2019_sw_WHONDRS-S19S_0017,10.56813504,233.7359746,0,0,0,3.298911953,0,0,0,10.56813504,10.56813504,210.7873441,33.51676559,23.37105524,148.5851181,0
middleoconee_2019_sw_WHONDRS-S19S_0011,13.44646987,291.9149099,4.061208641,0,0,2.348153161,0,0,0,3.178704167,21.59283431,78.38169453,209.3988883,188.8308131,64.84700518,14.26433741
morescreek_2019_sw_WHONDRS-S19S_0085,0,250.4590296,0,0,0,3.9792725,0,0,0,0,0,114.7060791,132.1686937,135.7529505,71.16775816,0
muddycreek_2019_sw_WHONDRS-S19S_0082,110.5495938,593.200233,2.157447075,0,0,1.99938117,0.399642874,0,0,60.71222327,92.31287356,309.6853405,337.8872426,184.8591085,257.7166937,29.28159566
nebranchanacostia_2019_sw_WHONDRS-S19S_0081,0,150.8912776,0,0,0,0,0,0,0,0,0,137.6075526,13.28372497,13.28372497,86.82538878,0
oksrukuyikcreek_2019_sw_WHONDRS-S19S_0050,9.619064726,3254.780615,0,0,0,68.54099185,0,0,0,0,9.619064726,2455.030778,809.3689021,758.3087305,665.4209563,0
pamunkeyriver_2019_sw_WHONDRS-S19S_0054,1.242802934,60.79966186,0,0,0,4.786145408,0,0,0,0,1.242802934,30.20742948,31.20154631,26.25203121,20.00363337,1.866629411
poseycreek_2019_sw_WHONDRS-S19S_0013,1.05283162,348.3522113,0,0,0,12.91817939,0,0,0,1.05283162,0,347.1965221,2.20852085,2.20852085,103.9472932,1.05283162
pringlecreek_2019_sw_WHONDRS-S19S_0025,0,133.9926704,0,0,0,0,0,0,0,0,0,125.4795831,6.621459689,6.621459689,60.69713614,0
providencecreek_2019_sw_WHONDRS-S19S_0007,0,555.0774774,5.121016058,0,0,36.45383745,0,0,0,6.679062242,0,534.069437,11.47159963,15.54490701,174.6465469,12.09643907
redbuttecreek_2019_sw_WHONDRS-S19S_0029,0,489.9358823,0,0,0,1.96721406,0,0,0,0,0,481.7658452,1.502197735,6.114550615,258.9912973,6.114550615
redbuttecreek_2019_sw_WHONDRS-S19S_0086,0,466.6620586,7.173012002,0,0,10.7375149,0,0,0,0,0,456.6976282,2.79141847,9.964430472,201.9478764,7.173012002
riogrande_2019_sw_WHONDRS-S19S_0066,0,1640.919925,18.42977788,0,0,13.67370617,8.421554133,0,0,0,0,1436.65491,162.7985234,77.75376163,183.0562473,47.04150201
sangamon_2019_sw_WHONDRS-S19S_0083,0,133.3044258,0,0,0,0,0,0,0,0,0,125.966752,7.337673779,5.350533416,87.3577475,0
sawmillbrook_2019_sw_WHONDRS-S19S_0072,0,248.3363135,0,0,0,0,0,0,0,0,0,248.3363135,0,0,132.6888946,0
sharkriverslough_2019_sw_WHONDRS-S19S_0042,4.70987191,203.2214978,0,0,0,5.482632755,0,0,0,0,7.672840711,136.049509,64.96146448,46.05781544,136.049509,0
sycamorecreek_2019_sw_WHONDRS-S19S_0028,146.810245,73.4982647,8.890279492,0,0,9.945562225,0,0,0,131.5130211,120.045022,51.36281504,157.2046755,158.7356903,19.22352599,20.8932343
teakettle_2019_sw_WHONDRS-S19S_0008,0,617.7066469,0,0,0,12.281834,0,0,0,0,0,616.8537805,0.852866459,0,471.9139736,0
teakettle2_2019_sw_WHONDRS-S19S_0032,0,1286.77374,0,0,0,11.58086286,0,0,0,0,0,1281.15819,5.615549864,0.867899147,991.2943088,0
tombigeeriver_2019_sw_WHONDRS-S19S_0020,0,30.07523759,0,0,0,0,0,0,0,0,3.331015713,9.695647454,18.73081197,4.363107541,9.695647454,2.590184026
whiteclaycreek1_2019_sw_WHONDRS-S19S_0037,3.796001173,939.0753156,0,0,0,6.794590907,0,0,0,3.021878084,0,936.7701464,6.101170341,2.305169168,266.6970035,0
